"","year","totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton","totalC_estimate_from_uppGrowthFunc_ton","upp95CI_totalC_estimate_from_uppGrowthFunc_ton","low95CI_totalC_estimate_from_uppGrowthFunc_ton","totalC_estimate_from_lowGrowthFunc_ton","upp95CI_totalC_estimate_from_lowGrowthFunc_ton","low95CI_totalC_estimate_from_lowGrowthFunc_ton"
"carbon2000NReg",2000,25720021.6392199,23726825.6396491,27713217.6387907,29714629.2576616,27453771.7901447,31975486.7251785,22071525.415169,20331267.4245467,23811783.4057912
"carbon2001NReg",2001,25664739.2014873,23675492.8053379,27653985.5976368,29679413.2083421,27422737.9500839,31936088.4666003,22004528.6646534,20267259.5281059,23741797.8012009
"carbon2002NReg",2002,25642572.9883571,23658183.8953581,27626962.0813561,29679185.0591426,27427339.5957394,31931030.5225459,21967515.589627,20234181.0180375,23700850.1612165
"carbon2003NReg",2003,25334901.5239834,23349255.4858441,27320547.5621228,29353214.6204551,27099096.8442426,31607332.3966675,21685003.065825,19950733.7165459,23419272.4151042
"carbon2004NReg",2004,25213550.903089,23232054.0212315,27195047.7849465,29243869.2877926,26994412.0093304,31493326.5662548,21563882.5831359,19833169.8197185,23294595.3465532
"carbon2005NReg",2005,25265452.4587676,23290763.2697893,27240141.6477459,29329233.1049733,27087140.6415862,31571325.5683604,21592632.4268882,19867706.4648855,23317558.388891
"carbon2006NReg",2006,24769455.1874069,22785621.8385648,26753288.536249,28781203.9319511,26526678.4574838,31035729.4064185,21149118.0479733,19417184.530099,22881051.5658477
"carbon2007NReg",2007,24777974.4489431,22800413.7656944,26755535.1321918,28816644.1109702,26569602.222876,31063685.9990643,21142098.717526,19415572.525006,22868624.910046
"carbon2008NReg",2008,24641488.2109207,22666634.3983635,26616342.023478,28687569.8362098,26444055.4830152,30931084.1894044,21009660.2883795,19285511.1365134,22733809.4402457
"carbon2009NReg",2009,24637211.9465733,22669256.9779501,26605166.9151964,28707128.7503601,26472056.2875147,30942201.2132055,20991184.17299,19272602.9939125,22709765.3520674
"carbon2010NReg",2010,24723291.3128712,22763469.1070985,26683113.5186438,28826183.4647431,26600707.5290763,31051659.4004099,21051234.1800576,19339118.8854828,22763349.4746324
"carbon2011NReg",2011,24643664.6601016,22690607.0175986,26596722.3026045,28743644.5432258,26525173.2620019,30962115.8244496,20971993.6606322,19265359.203343,22678628.1179214
"carbon2012NReg",2012,24655600.1003794,22710334.1825676,26600866.0181911,28762431.0936485,26551597.2559422,30973264.9313548,20972570.5797182,19272373.810036,22672767.3494003
"carbon2013NReg",2013,24417765.5761403,22478784.1542123,26356746.9980682,28484485.8045279,26278649.1537961,30690322.4552597,20762589.101716,19068055.6698714,22457122.5335606
"carbon2014NReg",2014,23720953.1628727,21925662.9122046,25516243.4135408,27674359.5528881,25633166.3328968,29715552.7728795,20160825.6167041,18589324.806144,21732326.4272642
"carbon2015NReg",2015,23397369.2581509,21605437.5587254,25189300.9575763,27299306.2388682,25259148.3817136,29339464.0960229,19885088.8907048,18317716.38806,21452461.3933495
"carbon2016NReg",2016,22967985.4687896,21174857.3818593,24761113.5557198,26804409.4259368,24759967.3707415,28848851.481132,19518700.6181216,17951961.4829217,21085439.7533214
"carbon2017NReg",2017,22638574.5265625,20849756.433894,24427392.619231,26422147.3304272,24380142.3443076,28464152.3165468,19238133.4991802,17676653.512415,20799613.4859455
"carbon2018NReg",2018,22305249.3993244,20520839.7235761,24089659.0750727,26034484.3816243,23995218.6964673,28073750.0667813,18955366.1834441,17399237.3208642,20511495.046024
"carbon2019NReg",2019,21799790.1412787,20004952.2237529,23594628.0588046,25445310.5085242,23390855.8325615,27499765.184487,18523897.8972005,16960944.1555043,20086851.6388967
"carbon2020NReg",2020,21623204.6772272,19818342.7447878,23428066.6096665,25232202.5607378,23163262.8064017,27301142.3150738,18377794.2141717,16807994.1518547,19947594.2764888
"carbon2021NReg",2021,21246005.9314883,19434818.0404953,23057193.8224812,24780249.4020823,22700859.3811883,26859639.4229763,18061424.5180751,16488191.3668639,19634657.6692863
