"","year","totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton","totalC_estimate_from_uppGrowthFunc_ton","upp95CI_totalC_estimate_from_uppGrowthFunc_ton","low95CI_totalC_estimate_from_uppGrowthFunc_ton","totalC_estimate_from_lowGrowthFunc_ton","upp95CI_totalC_estimate_from_lowGrowthFunc_ton","low95CI_totalC_estimate_from_lowGrowthFunc_ton"
"carbon1990NReg",1990,26127474.9970654,24125948.4943029,28129001.4998279,29810346.8226877,27534616.0994649,32086077.5459105,22643530.8806464,20906884.8489769,24380176.9123159
"carbon1991NReg",1991,26032351.9398275,24026999.1859598,28037704.6936953,29736978.605032,27457569.4532806,32016387.7567835,22545766.4316851,20805362.6004981,24286170.262872
"carbon1992NReg",1992,25940754.6447695,23932372.0147089,27949137.2748301,29671995.3697004,27390171.8192841,31953818.9201166,22449022.6914545,20705259.3124893,24192786.0704197
"carbon1993NReg",1993,25853977.886023,23843443.5339619,27864512.2380841,29615180.1028729,27332190.8819583,31898169.3237875,22354071.8933116,20607427.2282607,24100716.5583625
"carbon1994NReg",1994,25897100.4638962,23889071.5518563,27905129.3759362,29709378.2168256,27430852.6371758,31987903.7964754,22369178.9431649,20623375.639149,24114982.2471809
"carbon1995NReg",1995,25947114.923482,23942508.031858,27951721.815106,29812400.7835439,27539467.5385962,32085334.0284917,22387920.9129592,20643516.8094712,24132325.0164472
"carbon1996NReg",1996,25879852.768567,23875702.5276367,27884003.0094974,29776200.6232117,27504497.389334,32047903.8570894,22303773.0005187,20558202.7712929,24049343.2297445
"carbon1997NReg",1997,25942870.5555985,23943628.4646722,27942112.6465248,29884507.9732461,27618751.7381401,32150264.2083521,22332398.3427653,20589526.5268871,24075270.1586435
"carbon1998NReg",1998,25983574.6751427,23989225.4858805,27977923.8644049,29960770.2752387,27700132.0300498,32221408.5204276,22342945.4159355,20603006.6244819,24082884.2073892
"carbon1999NReg",1999,26001407.5800597,24011828.2708344,27990986.8892849,30009918.6510642,27754293.5782202,32265543.7239082,22335652.1208859,20598862.171684,24072442.0700877
