"","Year","total","SE"
"carbon2021CON",2021,47083508.4595066,2021516.53560653
"carbon2020CON",2020,46807786.0701548,2022813.41618551
"carbon2019CON",2019,46546755.1582347,2023781.7322348
"carbon2018CON",2018,46298518.2792677,2024426.7222452
"carbon2017CON",2017,46061221.5158043,2024734.43454644
"carbon2016CON",2016,45833098.9160077,2024678.68891772
"carbon2015CON",2015,45612578.0077244,2024219.1464013
"carbon2014CON",2014,45398366.3460401,2023304.58170093
"carbon2013CON",2013,45189504.0978034,2021882.6766363
"carbon2012CON",2012,44985243.0955808,2019907.02077609
"carbon2011CON",2011,44784767.0533853,2017340.65406894
"carbon2010CON",2010,44587075.9553019,2014157.86808686
"carbon2009CON",2009,44390947.9245662,2010344.07315733
"carbon2008CON",2008,44194939.5277986,2005893.16145657
"carbon2007CON",2007,43997482.4981539,2000801.12279369
"carbon2006CON",2006,43796962.1131418,1995059.77155913
"carbon2005CON",2005,43591827.9049094,1988648.74320928
"carbon2004CON",2004,43380598.4402105,1981538.13098655
"carbon2003CON",2003,43161801.3280363,1973700.07267023
"carbon2002CON",2002,42934075.2901962,1965106.93064731
"carbon2001CON",2001,42696155.3816373,1955731.20748035
"carbon2000CON",2000,42446828.5310317,1945546.52759719
"carbon1999CON",1999,42184982.8712877,1934523.24089716
"carbon1998CON",1998,41909552.715243,1922630.50283403
"carbon1997CON",1997,41619403.0142022,1909842.91298534
"carbon1996CON",1996,41313315.6371491,1896139.76408753
"carbon1995CON",1995,40990020.0937322,1881501.55820975
"carbon1994CON",1994,40648204.6551474,1865908.77461586
"carbon1993CON",1993,40286517.8791018,1849341.49514151
"carbon1992CON",1992,39903638.717618,1831773.6619429
"carbon1991CON",1991,39498332.2960244,1813168.69753608
"carbon1990CON",1990,39069441.4457333,1793480.48744713
